Gene_ID	Family
Cre13.g572950	E2F/DP
Cre13.g590350	bZIP
Cre14.g612100	Nin-like
Cre14.g620850	bHLH
Cre14.g631750	bZIP
Cre14.g631750	bZIP
Cre16.g667150	bHLH
Cre16.g672300	YABBY
Cre16.g673250	SBP
Cre16.g680050	NF-YC
Cre16.g683953	SBP
Cre16.g686100	SBP
Cre16.g692250	bZIP
Cre16.g692500	SBP
Cre17.g698233	SBP
Cre17.g739450	NF-YB
Cre17.g746547	bZIP
Cre13.g562400	B3
Cre01.g009575	AP2
Cre01.g009650	AP2
Cre10.g441300	AP2
Cre16.g667900	AP2
Cre17.g729600	AP2
Cre02.g100100	AP2
Cre03.g144424	AP2
Cre08.g383000	AP2
Cre08.g383000	AP2
Cre08.g385350	AP2
Cre03.g209953	AP2
Cre03.g209953	AP2
Cre01.g023100	ERF
Cre06.g275500	ERF
Cre06.g278181	ERF
Cre06.g278181	ERF
Cre07.g353500	ERF
Cre08.g364400	ERF
Cre14.g620500	ERF
Cre16.g649433	ERF
Cre16.g661650	ERF
Cre16.g674890	ERF
Cre16.g674890	ERF
Cre19.g750947	ERF
Cre06.g278159	CO-like
Cre16.g675100	CO-like
Cre05.g243000	ARR-B
Cre02.g083750	G2-like
Cre02.g083750	G2-like
Cre09.g410450	G2-like
Cre12.g495100	G2-like
Cre17.g696750	G2-like
Cre11.g467577	M-type_MADS
Cre02.g109650	HB-other
Cre03.g174500	HB-other
Cre03.g200431	HB-other
Cre08.g375400	HB-other
Cre01.g014050	C3H
Cre01.g035150	C3H
Cre02.g097850	C3H
Cre03.g145407	C3H
Cre03.g146267	C3H
Cre03.g146267	C3H
Cre03.g152150	C2H2
Cre03.g172800	C3H
Cre03.g185950	C2H2
Cre03.g201250	C2H2
Cre04.g229948	C3H
Cre04.g231124	C3H
Cre05.g240650	C2H2
Cre06.g250950	C3H
Cre06.g254650	C3H
Cre06.g278136	C3H
Cre06.g293750	C3H
Cre06.g293750	C3H
Cre06.g305200	C2H2
Cre07.g330050	C3H
Cre08.g371052	C3H
Cre08.g371052	C3H
Cre09.g389750	C2H2
Cre10.g460400	C3H
Cre10.g460400	C3H
Cre11.g476200	C3H
Cre12.g517350	LSD
Cre12.g523000	C3H
Cre12.g538801	C2H2
Cre13.g566200	C3H
Cre13.g567250	C2H2
Cre13.g606750	C3H
Cre16.g689535	C3H
Cre17.g696300	C2H2
Cre01.g034350	MYB
Cre02.g103450	MYB
Cre02.g108350	MYB
Cre03.g144747	MYB
Cre03.g149201	MYB
Cre03.g197100	MYB
Cre03.g197350	MYB
Cre07.g345350	MYB
Cre09.g399067	MYB
Cre09.g399067	MYB
Cre12.g522400	MYB
Cre14.g621050	MYB
Cre14.g632176	MYB
Cre16.g677382	MYB
Cre16.g677382	MYB
Cre17.g714229	MYB
Cre01.g003376	MYB_related
Cre02.g110550	MYB_related
Cre02.g111200	MYB_related
Cre02.g111200	MYB_related
Cre02.g111200	MYB_related
Cre02.g113450	MYB_related
Cre02.g146629	MYB_related
Cre03.g176651	MYB_related
Cre03.g198800	MYB_related
Cre06.g249050	MYB_related
Cre06.g264400	MYB_related
Cre06.g275350	MYB_related
Cre06.g289900	MYB_related
Cre08.g364050	MYB_related
Cre09.g391353	MYB_related
Cre09.g397475	MYB_related
Cre09.g399552	MYB_related
Cre09.g411600	MYB_related
Cre09.g411950	MYB_related
Cre10.g421021	MYB_related
Cre10.g430750	MYB_related
Cre12.g514400	MYB_related
Cre12.g514400	MYB_related
Cre14.g609350	MYB_related
Cre14.g621172	MYB_related
Cre14.g633789	MYB_related
Cre15.g639350	MYB_related
Cre16.g672400	MYB_related
Cre16.g686250	MYB_related
Cre16.g695600	MYB_related
